Namn,Typ,Kategori,Gata,Nr,Lat,Lon,Stadsdel,stadsdelsomrade
Lekplats,playground,Lekplats,Gamla Bromstensvägen,,59.3658947,17.9315475,Bällsta,Bromma
Lekplats,playground,Lekplats,Ulvsunda Slottsväg,,59.3359572,17.9698093,Ulvsunda,Bromma
Daisy's,fast_food,Restaurang & Snabbmat,Ulvsundavägen,69,59.3405556,17.9610049,Ulvsunda,Bromma
Lekplats,playground,Lekplats,Tranebergsvägen,,59.3350013,17.9892837,Traneberg,Bromma
Lekplats,playground,Lekplats,Porfyrvägen,,59.3351875,17.9885794,Traneberg,Bromma
Lekplats,playground,Lekplats,Olovslundsvägen,,59.3301379,17.9398654,Olovslund,Bromma
Lekplats,playground,Lekplats,Vidängsvägen,,59.3370409,17.9791944,Traneberg,Bromma
Lekplats,playground,Lekplats,Vidängsvägen,,59.336901,17.9796752,Traneberg,Bromma
Banthai Fastfood,restaurant,Restaurang & Snabbmat,Vidängsvägen,,59.3361837,17.9792432,Traneberg,Bromma
Lekplats,playground,Lekplats,Sigrid Undsets gata,,59.3479467,17.8865396,Blackeberg,Bromma
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3480883,17.8790937,Blackeberg,Bromma
Lekplats,playground,Lekplats,Vidängsvägen,,59.3390112,17.9790893,Traneberg,Bromma
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3464,17.9718022,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Strömkarlsvägen,,59.3204437,17.9736502,Smedslätten,Bromma
Pissamai Thai Food,fast_food,Restaurang & Snabbmat,Björnsonsgatan,,59.3492096,17.8802923,Blackeberg,Bromma
Lekplats,playground,Lekplats,Ibsengatan,,59.3498935,17.8791903,Blackeberg,Bromma
Bromma sjukhus,hospital,Sjukhus,Follingbogatan,32,59.3589933,17.9000524,Beckomberga,Bromma
Lekplats,playground,Lekplats,Basaltgränd,,59.3621232,17.9014376,Beckomberga,Bromma
Lekplats,playground,Lekplats,Agatvägen,,59.3627753,17.9007351,Eneby,Bromma
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.3442181,17.8878757,Blackeberg,Bromma
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3442311,17.8881535,Blackeberg,Bromma
Lekplats,playground,Lekplats,Grundtvigsgatan,,59.344457,17.8874622,Blackeberg,Bromma
Lekplats,playground,Lekplats,Arvid Mörnes väg,,59.3471618,17.8744826,Blackeberg,Bromma
Lekplats,playground,Lekplats,Liljegrensvägen,,59.3491927,17.9015864,Norra Ängby,Bromma
Lekplats,playground,Lekplats,Doktor Abrahams väg,,59.3555266,17.9232004,Bromma kyrka,Bromma
Lekplats,playground,Lekplats,Bällstavägen,,59.3604986,17.9596633,Mariehäll,Bromma
Klätterställningen,playground,Lekplats,Bällstavägen,,59.35625,17.9077124,Eneby,Bromma
Gungorna,playground,Lekplats,Bällstavägen,,59.3554141,17.9064061,Eneby,Bromma
Röda,playground,Lekplats,Limonitvägen,,59.3576513,17.9061278,Eneby,Bromma
Lekparken,playground,Lekplats,Alabastervägen,,59.357505,17.9076272,Eneby,Bromma
Runda,playground,Lekplats,Bällstavägen,,59.3569141,17.9081415,Eneby,Bromma
Klätterställningen,playground,Lekplats,Agatvägen,,59.3604482,17.900692,Eneby,Bromma
Lekplats,playground,Lekplats,Beckombergavägen,,59.3569531,17.9029208,Beckomberga,Bromma
Lekplats,playground,Lekplats,Ryggåsgatan,,59.3321385,17.9746753,Alvik,Bromma
Lillsjöns utegym,fitness_station,Gym/Utomhusgym,Kvarnbacksvägen,,59.341955,17.9533817,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Bårdgränd,,59.3382888,17.9307205,Åkeshov,Bromma
Pilspetsen,playground,Lekplats,Stora Ängby Allé,,59.3463961,17.9072244,Norra Ängby,Bromma
Lekplats,playground,Lekplats,Lummelundagatan,,59.3565447,17.9025092,Beckomberga,Bromma
Lekplats,playground,Lekplats,Beckombergavägen,,59.3570767,17.9024506,Beckomberga,Bromma
Stenlabyrint,playground,Lekplats,Agatvägen,,59.3609893,17.900692,Eneby,Bromma
Lekparken Operetten,playground,Lekplats,Sigurdsvägen,,59.3287285,17.9348156,Höglandet,Bromma
ChopChop Asian Express,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191B,59.3553016,17.9526324,Mariehäll,Bromma
KFC,fast_food,Restaurang & Snabbmat,Ulvsundavägen,191C,59.3554815,17.9520125,Mariehäll,Bromma
Pizza Hut,restaurant,Restaurang & Snabbmat,Ulvsundavägen,191 D,59.3556839,17.9514308,Mariehäll,Bromma
Lekplats,playground,Lekplats,Bergslagsvägen,,59.3428394,17.9215653,Åkeshov,Bromma
Lekplats,playground,Lekplats,Beckombergavägen,,59.3430163,17.9219531,Åkeshov,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,"Åkeshovs eljusspår 1,5 km",,59.3427563,17.9305386,Åkeshov,Bromma
Lekplats,playground,Lekplats,Beckombergavägen,,59.3429567,17.9207375,Åkeshov,Bromma
Lekplats,playground,Lekplats,Vadmalsvägen,,59.3398847,17.9429916,Bromma,Bromma
Galonparken,playground,Lekplats,Galonvägen,,59.3402899,17.9469614,Riksby,Bromma
Lekplats,playground,Lekplats,Spångavägen,,59.3408045,17.9375364,Bromma,Bromma
Lekplats,playground,Lekplats,Elias Lönnrots väg,,59.3486093,17.8779232,Blackeberg,Bromma
Lekplats,playground,Lekplats,Klas Klättermus Gata,,59.3639759,17.9526942,Mariehäll,Bromma
Circle K,fuel,Bensinmack,Råckstavägen,,59.351782,17.886488,Blackeberg,Bromma
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3441123,17.8865127,Blackeberg,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Västerled,,59.3288471,17.9640062,Stora mossen,Bromma
Ängbybadet lekplats,playground,Lekplats,Blackebergsvägen,,59.3366757,17.8987654,Södra Ängby,Bromma
Lekplats,playground,Lekplats,Åkeshovsvägen,,59.335594,17.9334947,Åkeslund,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Linabergsstigen,,59.3617969,17.9514533,Mariehäll,Bromma
Lekplats,playground,Lekplats,Björnsonsgatan,,59.3486069,17.8805094,Blackeberg,Bromma
Lekplats,playground,Lekplats,Ulvsunda Strand,,59.3484471,17.9737821,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3475138,17.9717403,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Granbacken,,59.343095,17.9611018,Ulvsunda industriområde,Bromma
Solviks utegym,fitness_station,Gym/Utomhusgym,Ålstens Skogsväg,,59.3155618,17.9663149,Smedslätten,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Alviks strand,,59.331536,17.9855691,Alvik,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Tyska Bottens Väg,,59.3295319,17.9136478,Nockebyhov,Bromma
Lekplats,playground,Lekplats,Masmästarvägen,,59.3456536,17.9750334,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Johannesfredsvägen,,59.3455396,17.9718453,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Tackjärnsvägen,,59.3450769,17.9738385,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Ståltrådsvägen,,59.3454695,17.9723554,Ulvsunda industriområde,Bromma
Lekplats,playground,Lekplats,Ericavägen,,59.3443887,17.9408692,Riksby,Bromma
Lekplats,playground,Lekplats,Kratsbodavägen,,59.3591507,17.9555672,Mariehäll,Bromma
Lekplats,playground,Lekplats,Kratsbodavägen,,59.359318,17.954757,Mariehäll,Bromma
Lekplats,playground,Lekplats,Kratsbodavägen,,59.3594289,17.9547097,Mariehäll,Bromma
Lekplats,playground,Lekplats,Linabergsstigen,,59.3620515,17.9535895,Mariehäll,Bromma
Lekplats,playground,Lekplats,Linabergsstigen,,59.3621188,17.953856,Mariehäll,Bromma
Lekplats,playground,Lekplats,Alpvägen,,59.3619661,17.9532735,Mariehäll,Bromma
Lekplats,playground,Lekplats,Linabergsstigen,,59.3621122,17.9538933,Mariehäll,Bromma
Lekplats,playground,Lekplats,Alpvägen,,59.3621558,17.9538113,Mariehäll,Bromma
Lekplats,playground,Lekplats,Emils Gata,,59.3631834,17.9493822,Mariehäll,Bromma
Lekplats,playground,Lekplats,Emils Gata,,59.3632078,17.9495308,Mariehäll,Bromma
Lekplats,playground,Lekplats,Emils Gata,,59.3631328,17.949495,Mariehäll,Bromma
Lekplats,playground,Lekplats,Tappvägen,23,59.3631964,17.9492479,Mariehäll,Bromma
Lekplats,playground,Lekplats,Emils Gata,,59.3632177,17.9495763,Mariehäll,Bromma
Lekplats,playground,Lekplats,Ronja Rövardotters Stig,,59.3633327,17.9474769,Mariehäll,Bromma
Lekplats,playground,Lekplats,Ronja Rövardotters Stig,,59.3634194,17.9473281,Mariehäll,Bromma
Lekplats,playground,Lekplats,Tegelbergsvägen,,59.3583515,17.9529108,Mariehäll,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Björnsonsgatan,,59.3456372,17.8783771,Blackeberg,Bromma
Snurran,playground,Lekplats,Sopvägen,,59.3184994,17.9544361,Ålsten,Bromma
Sushiparken,playground,Lekplats,Follingbogatan,,59.3582993,17.9040448,Eneby,Bromma
Lekplatsen Bågen,playground,Lekplats,Bågvägen,,59.3226674,17.9548923,Ålsten,Bromma
Gym/Utomhusgym,fitness_station,Gym/Utomhusgym,Judarskogen Reflexbana MTB,,59.340791,17.9068068,Nockebyhov,Bromma
Marino,restaurant,Restaurang & Snabbmat,Klubbacken,51,59.305325,17.9632902,Hägersten,Hägersten-Älvsjö
Hemköp Stockholm Älvsjö,supermarket,Matbutik,Sjättenovembervägen,208,59.2787519,18.00228,Liseberg,Hägersten-Älvsjö
OKQ8,fuel,Bensinmack,Kontrollvägen,,59.2944349,18.0025876,Västberga,Hägersten-Älvsjö
Circle K,fuel,Bensinmack,Nioörtsvägen,,59.2999537,18.012147,Västberga,Hägersten-Älvsjö
McDonald's,fast_food,Restaurang & Snabbmat,Lerkrogsvägen,,59.2930743,18.0012108,Västberga,Hägersten-Älvsjö
Coop Västertorp,supermarket,Matbutik,Störtloppsvägen,17,59.2927384,17.9676426,Västertorp,Hägersten-Älvsjö
Hemköp Hägersten Västertorp,supermarket,Matbutik,Störtloppsvägen,22,59.2930981,17.9677873,Västertorp,Hägersten-Älvsjö
Sushi Bar,restaurant,Restaurang & Snabbmat,Störtloppsvägen,,59.2924236,17.9679342,Västertorp,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långsjöhöjden,,59.2647808,17.9840719,Långsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2715724,17.9845487,Långsjö,Hägersten-Älvsjö
ST1,fuel,Bensinmack,Elektravägen,33,59.2946662,18.0099656,Västberga,Hägersten-Älvsjö
Apoteket,pharmacy,Apotek,Fruängstorget,6,59.2857782,17.9646066,Fruängen,Hägersten-Älvsjö
Systembolaget,alcohol,Systembolag,Fruängsgången,10,59.2856716,17.9638677,Fruängen,Hägersten-Älvsjö
Solberga restaurang,restaurant,Restaurang & Snabbmat,Klacktorget,4,59.2869324,18.0104442,Solberga,Hägersten-Älvsjö
Stora Coop Västberga,supermarket,Matbutik,Västbergavägen,4,59.2937143,18.0046482,Västberga,Hägersten-Älvsjö
Willys Stockholm Älvsjö,supermarket,Matbutik,Älvsjö Ängsväg,2-6,59.2753,18.0132,Liseberg,Hägersten-Älvsjö
ICA Supermarket,supermarket,Matbutik,Sjövikstorget,,59.3073101,18.0296528,Liljeholmen,Hägersten-Älvsjö
E4-baren,fast_food,Restaurang & Snabbmat,Kristallvägen,156,59.2897345,18.0023026,Solberga,Hägersten-Älvsjö
Cafe Vintervikens Trädgård,cafe,Kafé,Vinterviksvägen,30,59.3112368,17.9990416,Aspudden,Hägersten-Älvsjö
Coop Gröndal,supermarket,Matbutik,Gröndalsvägen,,59.3160917,18.0116571,Gröndal,Hägersten-Älvsjö
Ekensbergs Pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3148143,17.9953198,Gröndal,Hägersten-Älvsjö
Lundbergs konditori,cafe,Kafé,Sjöbjörnsvägen,,59.3160215,18.0103222,Gröndal,Hägersten-Älvsjö
Gröndals Sushi Kök,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3158464,18.0136582,Gröndal,Hägersten-Älvsjö
Tre Vänner,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.3014183,18.0120339,Midsommarkransen,Hägersten-Älvsjö
Tegelbruket,cafe,Kafé,Svandammsvägen,,59.3020479,18.0153506,Midsommarkransen,Hägersten-Älvsjö
Restaurant Kransen,restaurant,Restaurang & Snabbmat,Nybodagatan,,59.3022631,18.0148264,Midsommarkransen,Hägersten-Älvsjö
Pita i parken,restaurant,Restaurang & Snabbmat,Svandammsvägen,,59.301094,18.0069063,Midsommarkransen,Hägersten-Älvsjö
Tellus,cinema,Biograf,Vattenledningsvägen,,59.3019888,18.0075991,Midsommarkransen,Hägersten-Älvsjö
OKQ8 Hägersten,fuel,Bensinmack,Elsa Brändströms Gata,,59.2876582,17.9800825,Fruängen,Hägersten-Älvsjö
ICA Nära Telefonplan,supermarket,Matbutik,Telefonvägen,20,59.2988217,17.9969403,Midsommarkransen,Hägersten-Älvsjö
Pizzeria Italia,fast_food,Restaurang & Snabbmat,Cedergrensvägen,,59.3001157,17.9957628,Midsommarkransen,Hägersten-Älvsjö
Best on the best,restaurant,Restaurang & Snabbmat,LM Ericssons Väg,,59.29991,17.9959046,Midsommarkransen,Hägersten-Älvsjö
Landet,restaurant,Restaurang & Snabbmat,Valborgsmässovägen,,59.2991679,17.9962667,Midsommarkransen,Hägersten-Älvsjö
Lurparken,playground,Lekplats,Huvudfabriksgatan,,59.3009202,17.9933312,Midsommarkransen,Hägersten-Älvsjö
Telegrillen,fast_food,Restaurang & Snabbmat,Mikrofonvägen,,59.2979103,17.9971428,Midsommarkransen,Hägersten-Älvsjö
JJ's,fast_food,Restaurang & Snabbmat,Främlingsvägen,,59.3039515,18.0036438,Midsommarkransen,Hägersten-Älvsjö
Coop Älvsjö,supermarket,Matbutik,Älvsjö Torg,4,59.2790528,18.0099095,Älvsjö,Hägersten-Älvsjö
Gröndals grill & pizza,fast_food,Restaurang & Snabbmat,Gröndalsvägen,,59.3158038,18.0095939,Gröndal,Hägersten-Älvsjö
Gröndals bibliotek,library,Bibliotek,Gröndalsvägen,,59.3161337,18.0121677,Gröndal,Hägersten-Älvsjö
Gandhi,restaurant,Restaurang & Snabbmat,Sjöbjörnsvägen,,59.316601,18.0083698,Gröndal,Hägersten-Älvsjö
Hägern,restaurant,Restaurang & Snabbmat,Inteckningsvägen,84,59.2944861,17.9809865,Hägerstensåsen,Hägersten-Älvsjö
Ica,supermarket,Matbutik,Sparbanksvägen,,59.2971133,17.982747,Hägerstensåsen,Hägersten-Älvsjö
Indian Lotus,restaurant,Restaurang & Snabbmat,Riksdalervägen,,59.2974935,17.9843719,Hägerstensåsen,Hägersten-Älvsjö
Da Dante,restaurant,Restaurang & Snabbmat,Brådstupsvägen,,59.3040862,17.9591433,Hägersten,Hägersten-Älvsjö
Villa Fridhem,restaurant,Restaurang & Snabbmat,Mälarhöjdsvägen,2,59.3016308,17.956049,Mälarhöjden,Hägersten-Älvsjö
Coop Örnsberg,supermarket,Matbutik,Junkergatan,27,59.3057786,17.9895142,Aspudden,Hägersten-Älvsjö
Wintervikens cafe,cafe,Kafé,Vinterviksvägen,60,59.3116377,17.9921168,Aspudden,Hägersten-Älvsjö
Pizzeria Sorrento,fast_food,Restaurang & Snabbmat,Störtloppsvägen,26,59.2933579,17.9675477,Västertorp,Hägersten-Älvsjö
Nickys Thai,restaurant,Restaurang & Snabbmat,Styrbjörnsvägen,,59.3094687,18.0026802,Aspudden,Hägersten-Älvsjö
Coop Aspudden,supermarket,Matbutik,Fågeltorget,,59.3053907,17.9932874,Aspudden,Hägersten-Älvsjö
Tellus Restaurang,restaurant,Restaurang & Snabbmat,Dialoggatan,11,59.2991966,17.9924373,Midsommarkransen,Hägersten-Älvsjö
"ICA Hallen, Axelsberg",supermarket,Matbutik,Selmedalsvägen,38,59.3048107,17.9755631,Hägersten,Hägersten-Älvsjö
Mix Thai,fast_food,Restaurang & Snabbmat,Doktor Widerströms Gata,1,59.2840405,17.9578914,Fruängen,Hägersten-Älvsjö
Hemköp Stockholm Fruängen C,supermarket,Matbutik,Fruängsgången,10,59.2856612,17.9646492,Fruängen,Hägersten-Älvsjö
Bankomat,restaurant,Restaurang & Snabbmat,Sjövikskajen,,59.3076959,18.0305063,Liljeholmen,Hägersten-Älvsjö
Nästan hemma,cafe,Kafé,Slättgårdsvägen,1,59.3009248,17.957392,Hägersten,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Klubbensborgsvägen,,59.3048245,17.9590871,Hägersten,Hägersten-Älvsjö
Långpannan,restaurant,Restaurang & Snabbmat,Elsa Borgs Gata,,59.2829973,17.9647493,Fruängen,Hägersten-Älvsjö
Coop Fruängen,supermarket,Matbutik,Fruängsgången,3,59.2854719,17.9653558,Fruängen,Hägersten-Älvsjö
Lucky,fast_food,Restaurang & Snabbmat,Örnsbergsvägen,,59.3054372,17.98887,Aspudden,Hägersten-Älvsjö
Woktory,restaurant,Restaurang & Snabbmat,Ellen Keys Gata,75,59.2846844,17.9662449,Fruängen,Hägersten-Älvsjö
Fruängens Läkarhus,doctor,Vårdcentral,Fruängsgången,2,59.2855867,17.9667241,Fruängen,Hägersten-Älvsjö
Bella Donna,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2853202,17.9631433,Fruängen,Hägersten-Älvsjö
Grillhörnan,fast_food,Restaurang & Snabbmat,Fruängsplan,,59.2857793,17.9652246,Fruängen,Hägersten-Älvsjö
Fruängens bibliotek,library,Bibliotek,Fruängsgången,,59.2856698,17.9654212,Fruängen,Hägersten-Älvsjö
Bigges,fast_food,Restaurang & Snabbmat,Fruängsgatan,,59.2852617,17.9646355,Fruängen,Hägersten-Älvsjö
Cafékoppen,cafe,Kafé,Fruängstorget,4,59.2858337,17.9634488,Fruängen,Hägersten-Älvsjö
66 Kvadrat Sushi,restaurant,Restaurang & Snabbmat,Fruängsgatan,,59.2847551,17.9618674,Fruängen,Hägersten-Älvsjö
Pizzeria Tropicana,fast_food,Restaurang & Snabbmat,Vasaloppsvägen,,59.2937875,17.9655034,Västertorp,Hägersten-Älvsjö
Apotek Hjärtat,pharmacy,Apotek,Störtloppsvägen,,59.2940587,17.9669036,Västertorp,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Annebodavägen,4-6,59.2847122,18.0301247,Älvsjö,Hägersten-Älvsjö
Kronans Apotek,pharmacy,Apotek,Telefonplan,,59.2986734,17.9970116,Midsommarkransen,Hägersten-Älvsjö
Pepe Nero,restaurant,Restaurang & Snabbmat,Tivolivägen,2,59.2951017,18.0048473,Västberga,Hägersten-Älvsjö
Circle K Truckdiesel,fuel,Bensinmack,Vretensborgsvägen,,59.2994785,18.0199642,Västberga,Hägersten-Älvsjö
Pizzeria Spader Dam,restaurant,Restaurang & Snabbmat,Jenny Linds Gata,,59.2882766,17.9686475,Fruängen,Hägersten-Älvsjö
Restaurang & Snabbmat,fast_food,Restaurang & Snabbmat,Störtloppsvägen,,59.2921669,17.9681563,Västertorp,Hägersten-Älvsjö
Korfu Orfa,restaurant,Restaurang & Snabbmat,Sparbanksvägen,,59.2976427,17.9826086,Hägerstensåsen,Hägersten-Älvsjö
Wong Kee,restaurant,Restaurang & Snabbmat,Grönbrinksgatan,,59.3069965,18.0290177,Liljeholmen,Hägersten-Älvsjö
Gröna Dalen,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3160058,18.0111341,Gröndal,Hägersten-Älvsjö
Thai Rung,restaurant,Restaurang & Snabbmat,Liljeholmstorget,,59.3104328,18.0223051,Liljeholmen,Hägersten-Älvsjö
Di Metro,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3101026,18.0220192,Liljeholmen,Hägersten-Älvsjö
McDonald's,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3104032,18.0229847,Liljeholmen,Hägersten-Älvsjö
Coop Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3106203,18.0235883,Liljeholmen,Hägersten-Älvsjö
Äldreboendet Trekanten,restaurant,Restaurang & Snabbmat,Trekantsstranden,,59.3134648,18.0181386,Liljeholmen,Hägersten-Älvsjö
Liljeholmens Grill,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3100673,18.0218658,Liljeholmen,Hägersten-Älvsjö
KFC,fast_food,Restaurang & Snabbmat,Liljeholmstorget,,59.3097444,18.0221382,Liljeholmen,Hägersten-Älvsjö
Bravo,cafe,Kafé,Liljeholmstorget,,59.3101203,18.0232131,Liljeholmen,Hägersten-Älvsjö
Lidl,supermarket,Matbutik,Liljeholmstorget,,59.3100484,18.0233359,Liljeholmen,Hägersten-Älvsjö
Bara Vedugnspizza,restaurant,Restaurang & Snabbmat,Örby Slottsväg,48,59.2797601,18.0342466,Örby slott,Hägersten-Älvsjö
Bella Notte,restaurant,Restaurang & Snabbmat,Tegelbruksvägen,,59.3023424,18.0141062,Midsommarkransen,Hägersten-Älvsjö
Sats,fitness_centre,Gym/Utomhusgym,Buteljgatan,,59.3091841,18.0284825,Liljeholmen,Hägersten-Älvsjö
Koi Sushi,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.3053498,17.9975035,Aspudden,Hägersten-Älvsjö
Mama Ye's,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3075449,18.0301795,Liljeholmen,Hägersten-Älvsjö
ICA Kvantum Liljeholmen,supermarket,Matbutik,Liljeholmstorget,,59.3094423,18.0222688,Liljeholmen,Hägersten-Älvsjö
Willys,supermarket,Matbutik,Nybohovsbacken,,59.3093766,18.0211932,Liljeholmen,Hägersten-Älvsjö
Brisket & friends,fast_food,Restaurang & Snabbmat,Upplagsvägen,,59.2994274,18.0216412,Västberga,Hägersten-Älvsjö
Morningstar Cafe,restaurant,Restaurang & Snabbmat,Drivhjulsvägen,,59.2967508,18.019543,Västberga,Hägersten-Älvsjö
Coop Midsommarkransen,supermarket,Matbutik,Svandammsvägen,20,59.301647,18.0124794,Midsommarkransen,Hägersten-Älvsjö
Svenska Sushiköket,restaurant,Restaurang & Snabbmat,Tellusborgsvägen,76,59.3003552,18.0040262,Midsommarkransen,Hägersten-Älvsjö
Pizzeria Fellini,fast_food,Restaurang & Snabbmat,Midsommarvägen,,59.300644,18.0121602,Midsommarkransen,Hägersten-Älvsjö
Kransens Wok,fast_food,Restaurang & Snabbmat,Tegelbruksvägen,,59.3031402,18.0127352,Midsommarkransen,Hägersten-Älvsjö
Tellus Pizza,fast_food,Restaurang & Snabbmat,Vattenledningsvägen,,59.3020127,18.0082047,Midsommarkransen,Hägersten-Älvsjö
Nygammalt,restaurant,Restaurang & Snabbmat,Vattenledningsvägen,,59.2998782,18.0046563,Midsommarkransen,Hägersten-Älvsjö
Pino,fast_food,Restaurang & Snabbmat,Nioörtsvägen,,59.301504,18.0160105,Midsommarkransen,Hägersten-Älvsjö
The Swan,restaurant,Restaurang & Snabbmat,Erikslundsgatan,,59.3006861,18.014473,Midsommarkransen,Hägersten-Älvsjö
Restaurang Udden,restaurant,Restaurang & Snabbmat,Schlytersvägen,,59.3064868,18.006486,Aspudden,Hägersten-Älvsjö
Älvsjö bibliotek,library,Bibliotek,Älvsjö Stationsgata,,59.2781677,18.0078331,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Sedelvägen,,59.296161,17.9808213,Hägerstensåsen,Hägersten-Älvsjö
Chicha 08,restaurant,Restaurang & Snabbmat,Ingenjörsvägen,,59.3064952,18.0256387,Liljeholmen,Hägersten-Älvsjö
Pepe Nero,restaurant,Restaurang & Snabbmat,Sjöviksvägen,,59.3060136,18.032393,Liljeholmen,Hägersten-Älvsjö
Telefonplans bibliotek,library,Bibliotek,Telefonplan,,59.2989246,17.9966603,Midsommarkransen,Hägersten-Älvsjö
OKQ8,fuel,Bensinmack,Elisabeth Tamms Gata,1,59.2849919,17.954975,Fruängen,Hägersten-Älvsjö
Roots & Soil,restaurant,Restaurang & Snabbmat,Årstaängsvägen,,59.3097676,18.028177,Liljeholmen,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Hövdingagatan,,59.3063786,17.9972313,Aspudden,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Torsten Almsstigen,,59.307586,17.9948105,Aspudden,Hägersten-Älvsjö
Lisebergs Café & Matsal,restaurant,Restaurang & Snabbmat,Annebodavägen,23-25,59.2871214,18.0266966,Älvsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Torsten Alms Gata,,59.3094183,17.9942857,Aspudden,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2717013,17.9846451,Långsjö,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Långbrodalsvägen,,59.2721591,17.985962,Långsjö,Hägersten-Älvsjö
Hinode Sushi,fast_food,Restaurang & Snabbmat,Götalandsvägen,253,59.2793638,18.004151,Älvsjö,Hägersten-Älvsjö
Bapuji,restaurant,Restaurang & Snabbmat,Älvsjövägen,2,59.2783471,18.0063075,Liseberg,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Slalomvägen,,59.2918792,17.9751361,Västertorp,Hägersten-Älvsjö
Älvgården Kök & Bar,restaurant,Restaurang & Snabbmat,Älvsjövägen,7,59.2780961,18.0061133,Liseberg,Hägersten-Älvsjö
Vår Pizza,restaurant,Restaurang & Snabbmat,Johan Skyttes Väg,218,59.277762,18.0018118,Liseberg,Hägersten-Älvsjö
Cafe Gården,cafe,Kafé,Sedelvägen,20,59.2961996,17.9830405,Hägerstensåsen,Hägersten-Älvsjö
Aspuddens apotek,pharmacy,Apotek,Erik Segersälls Väg,,59.3061293,18.000954,Aspudden,Hägersten-Älvsjö
Bombay Taj,restaurant,Restaurang & Snabbmat,Hägerstensvägen,,59.3055028,18.0031363,Aspudden,Hägersten-Älvsjö
Mums,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.305703,18.001019,Aspudden,Hägersten-Älvsjö
EPA,fast_food,Restaurang & Snabbmat,Hägerstensvägen,,59.3054736,18.0018403,Aspudden,Hägersten-Älvsjö
Aspuddens bibliotek,library,Bibliotek,Hägerstensvägen,,59.3054669,18.0015478,Aspudden,Hägersten-Älvsjö
Gröndals Apotek,pharmacy,Apotek,Gröndalsvägen,,59.316151,18.0123077,Gröndal,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Metronomgatan,,59.297741,18.000378,Västberga,Hägersten-Älvsjö
Lekplats,playground,Lekplats,Metronomgatan,,59.2978478,18.0005014,Västberga,Hägersten-Älvsjö
Café Hitom,cafe,Kafé,Klaviaturgatan,11,59.2979163,18.0001688,Västberga,Hägersten-Älvsjö
Café Momo,cafe,Kafé,Liljeholmstorget,,59.3098599,18.0217484,Liljeholmen,Hägersten-Älvsjö
Delfin,restaurant,Restaurang & Snabbmat,Gröndalsvägen,,59.3151188,18.0149853,Gröndal,Hägersten-Älvsjö
DIN-DIN Club,restaurant,Restaurang & Snabbmat,Sjövikstorget,,59.3081563,18.0291693,Liljeholmen,Hägersten-Älvsjö
German Beer Hall Liljeholmen,restaurant,Restaurang & Snabbmat,Buteljgatan,,59.3083331,18.0296139,Liljeholmen,Hägersten-Älvsjö
Älvsjö Pizzeria,restaurant,Restaurang & Snabbmat,Älvsjövägen,90,59.2849116,17.9931883,Älvsjö,Hägersten-Älvsjö
