id;kategori;namn;gatuadress;postnummer;stad;koordinat_east;koordinat_north;Stadsdel;stadsdelsomrade;Genomsnittligt meritvärde (17 ämnen);Elever, årskurs 1-9
14999;grundskolor;Snitz grundskola, 7–9;Snickerigatan 4;12626;Hägersten;17.9914611;59.2995333;Midsommarkransen;Hägersten-Älvsjö;177,1;99
14599;grundskolor;Solbergaskolan, F–6;Lerkrogsvägen 28;12679;Hägersten;18.0060931;59.2902259;Västberga;Hägersten-Älvsjö;;236
14993;grundskolor;Stefanskolan, F–9;Tegnebyvägen 30;16856;Bromma;17.9084713;59.3433235;Norra Ängby;Bromma;;88
14990;grundskolor;Stockholm International Academy Hägersten, F–9;Sulvägen 52;12640;Hägersten;18.00775;59.2842816;Solberga;Hägersten-Älvsjö;235,7;187
14703;grundskolor;Södra Ängby skola, F–9;Blackebergsvägen 100;16851;Bromma;17.8974141;59.3373376;Södra Ängby;Bromma;260,8;742
15358;grundskolor;Tellusborgsskolan, 6–9;Tellusborgsvägen 36;12649;Hägersten;18.0055479;59.3020595;Midsommarkransen;Hägersten-Älvsjö;251,9;758
14949;grundskolor;Thea privata grundskola – Bromma, 6–9;Voltavägen 8;16869;Bromma;17.9696103;59.3456792;Ulvsunda industriområde;Bromma;;
14750;grundskolor;Ulvsundaskolan, F–3;Johannesfredsvägen 45;16868;Bromma;17.9731332;59.3469559;Ulvsunda industriområde;Bromma;;29
14911;grundskolor;Vittra Telefonplan, F–9;Snickerigatan 3–4;12626;Hägersten;17.9910968;59.2994897;Midsommarkransen;Hägersten-Älvsjö;213,1;144
14906;grundskolor;Västbergaskolan, F–9;Klensmedsvägen 2;12638;Hägersten;17.9950632;59.2958759;Västberga;Hägersten-Älvsjö;257;676
14800;grundskolor;Västertorpsskolan, F–6;Störtloppsvägen 2–6;12946;Hägersten;17.9678296;59.2927971;Västertorp;Hägersten-Älvsjö;;371
14812;grundskolor;Ålstensskolan, F–6;Nyängsvägen 72–80;16764;Bromma;17.955415;59.3256376;Ålsten;Bromma;;378
14859;grundskolor;Äppelviksskolan, 7–9;Alviksvägen 97;16753;Bromma;17.9746664;59.3239043;Äppelviken;Bromma;289,2;527
14872;grundskolor;Örbyskolan, F–9;Gamla Huddingevägen 425;12542;Älvsjö;18.0265722;59.2748688;Älvsjö;Hägersten-Älvsjö;241,4;587
14884;grundskolor;Östbergaskolan, F–6;Östbergabackarna 51–57;12573;Älvsjö;18.0383425;59.2885634;Östberga;Hägersten-Älvsjö;;166
15594;anpassade_grundskolor;Aspuddens skola, anpassad grundskola 1–9;Blommensbergsvägen 166;12655;Hägersten;17.9980291;59.3093396;Aspudden;Hägersten-Älvsjö;215,9;699
34957;anpassade_grundskolor;Beckombergaskolan, anpassad grundskola F–6;Styresman Sanders väg 14;16860;Bromma;17.9041467;59.3596442;Eneby;Bromma;;437
15414;anpassade_grundskolor;Fruängens skola, anpassad grundskola 1–9;Fruängsgatan 57–61;12953;Hägersten;17.9661492;59.2849719;Fruängen;Hägersten-Älvsjö;206,3;505
15438;anpassade_grundskolor;Innovitaskolan Joriel grundskola och anpassad grundskola, F–9;Bergtallsvägen 12;12560;Älvsjö;17.9695367;59.2817936;Älvsjö;Hägersten-Älvsjö;;
15461;anpassade_grundskolor;Lunaskolan Bromma, anpassad grundskola 4–9;Johannesfredsvägen 43;16868;Bromma;17.9731332;59.3469559;Ulvsunda industriområde;Bromma;175,4;144
27661;anpassade_grundskolor;Midsommarkransens skola, anpassad grundskola 1–7;Bäckvägen 1;12647;Hägersten;17.9948889;59.3023898;Midsommarkransen;Hägersten-Älvsjö;;818
15491;anpassade_grundskolor;Nya Elementar, anpassad grundskola 1–9;Bergslagsvägen 80;16855;Bromma;17.9010568;59.3445421;Södra Ängby;Bromma;269,1;994
15497;anpassade_grundskolor;Olovslundsskolan, anpassad grundskola 1–6;Olovslundsvägen 23;16772;Bromma;17.9384342;59.3311661;Olovslund;Bromma;;397
15529;anpassade_grundskolor;Solbergaskolan, anpassad grundskola, Broskolan, 1–6;Lerkrogsvägen 28;12679;Hägersten;18.0060931;59.2902259;Västberga;Hägersten-Älvsjö;;236
15536;anpassade_grundskolor;Solbergaskolan, anpassad grundskola, Mockasinen, 1–9;Lerkrogsvägen 28;12679;Hägersten;18.0060931;59.2902259;Västberga;Hägersten-Älvsjö;;236
15567;anpassade_grundskolor;Västbergaskolan, anpassad grundskola, 1–9;Klensmedsvägen 2;12638;Hägersten;17.9950632;59.2958759;Västberga;Hägersten-Älvsjö;257;676
34879;anpassade_grundskolor;Västertorpsskolan, anpassad grundskola 1–6;Störtloppsvägen 2;12946;Hägersten;17.9698323;59.2911596;Västertorp;Hägersten-Älvsjö;;371
12293;öppen_förskola;Öppna förskolan Fruängen;Hanna Rydhs gata 5;12950;Hägersten;17.9738024;59.2859588;Fruängen;Hägersten-Älvsjö;;
12421;öppen_förskola;Öppna förskolan Hägerstensåsen;Inteckningsvägen 17 E;12931;Hägersten;17.9834525;59.2924289;Hägerstensåsen;Hägersten-Älvsjö;;
12303;öppen_förskola;Öppna förskolan i Blackeberg;Grundtvigsgatan 29 (21) (mittemot Blackebergsparken);16848;Bromma;143549.0;6581110.0;;Bromma;;
30112;öppen_förskola;Öppna förskolan Pippi för barn med funktionsnedsättning;Hanna Rydhs gata 5;12950;Hägersten;17.9738024;59.2859588;Fruängen;Hägersten-Älvsjö;;
28344;öppen_förskola;Öppna förskolan Tunnlandsvägen;Tunnlandsvägen 30 B;16836;Bromma;17.9404689;59.3363663;Bromma;Bromma;;
12169;öppen_förskola;Öppna förskolan Älvsjö;Solberga ängsväg 4;12544;Älvsjö;18.0136606;59.2812742;Älvsjö;Hägersten-Älvsjö;;
12192;öppen_förskola;Öppna förskolan Östberga, Östberga kulturhus;Östbergatorget 14;12573;Älvsjö;18.0332425;59.2889218;Östberga;Hägersten-Älvsjö;;
10704;förskola;Andante förskolor Utflyktsvägen;Utflyktsvägen 4;16841;Bromma;17.9115719;59.3302726;Nockebyhov;Bromma;;
7680;förskola;Annedals Montessoriförskola;Pippi Långstrumps gata 35;16870;Bromma;17.9469495;59.3655816;Mariehäll;Bromma;;
9011;förskola;Bellmanskällans Montessoriförskola;Brådstupsvägen 5–9;12939;Hägersten;17.9585439;59.3044665;Hägersten;Hägersten-Älvsjö;;
9533;förskola;Birkamyntet – Ängbybarnens förskolor;Vultejusvägen 59;16855;Bromma;17.9090027;59.3440481;Norra Ängby;Bromma;;
10184;förskola;Björntjänst;Bäckbornas väg 17;16860;Bromma;17.9011908;59.3626829;Eneby;Bromma;;
7649;förskola;Blackebergs Montessoriförskola;Holbergsgatan 109;16845;Bromma;17.8848678;59.3446405;Blackeberg;Bromma;;
9536;förskola;Blomstermåla – Ängbybarnens förskolor;Frislandsvägen 1–3;16855;Bromma;17.8984523;59.3470737;Södra Ängby;Bromma;;
7587;förskola;Blå Grodan;Missionsvägen 14;16733;Bromma;17.9764308;59.3408876;Ulvsunda;Bromma;;
10148;förskola;Bromma enskilda skolas förskola;Mossvägen 7;16756;Bromma;17.9643291;59.3298378;Stora mossen;Bromma;;
6447;förskola;Bromma språkförskola;Marklandsbacken 2;16836;Bromma;17.9368963;59.3368174;Åkeslund;Bromma;;
10206;förskola;Brommakrokodilens Montessoriförskola;Grönviksvägen 107;16776;Bromma;17.9372579;59.320387;Ålsten;Bromma;;
7700;förskola;Bullerbyn Johan Skyttes väg 325–327;Johan Skyttes väg 325-327;12558;Älvsjö;17.9816226;59.2809421;Älvsjö;Hägersten-Älvsjö;;
31055;förskola;Citrusgården;Folkparksvägen 161;12677;Hägersten;18.012481;59.2851239;Solberga;Hägersten-Älvsjö;;
7705;förskola;Ekbacken Svartlösavägen 128;Svartlösavägen 128;12558;Älvsjö;17.9803431;59.2774449;Älvsjö;Hägersten-Älvsjö;;
6645;förskola;Eken Sulvägen 52 A;Sulvägen 52 A;12640;Hägersten;18.0058888;59.2872902;Solberga;Hägersten-Älvsjö;;
8716;förskola;Ellen Fries;Ellen Fries gata 10;12950;Hägersten;17.9703718;59.287995;Fruängen;Hägersten-Älvsjö;;
8722;förskola;Ellen Key;Ellen Keys Gata 83;12953;Hägersten;17.966073;59.2854065;Fruängen;Hägersten-Älvsjö;;
7709;förskola;Fantasia;Vantörsvägen 225;12955;Hägersten;17.9598385;59.2830064;Fruängen;Hägersten-Älvsjö;;
10381;förskola;Fiberpennan;Fastlagsvägen 68;12647;Hägersten;17.9968277;59.3035402;Midsommarkransen;Hägersten-Älvsjö;;
8674;förskola;Flyttfågeln;Stenkilsgatan 7;12652;Hägersten;17.9883258;59.3078217;Aspudden;Hägersten-Älvsjö;;
10393;förskola;Fyra Elementen Djurkloun;Djurklouvägen 4;16763;Bromma;17.9658487;59.3176179;Smedslätten;Bromma;;
10397;förskola;Fyra Elementen Grävlingen;Grävlingsvägen 11;16756;Bromma;17.9712138;59.3315973;Äppelviken;Bromma;;
6906;förskola;Förskolan Ankarstocksvägen 12–14;Ankarstocksvägen 12–14;16864;Bromma;17.9294167;59.3668088;Bällsta;Bromma;;
8333;förskola;Förskolan Beckombergavägen 76;Beckombergavägen 76;16854;Bromma;17.9165023;59.3457881;Bromma;Bromma;;
6361;förskola;Förskolan Bergviksvägen 89A;Bergviksvägen 89A;16763;Bromma;17.9573867;59.3226656;Ålsten;Bromma;;
10132;förskola;Förskolan Bild & Tanke;Hägerstensvägen 301;12941;Hägersten;17.9609613;59.3005085;Hägersten;Hägersten-Älvsjö;;
6515;förskola;Förskolan Björnsonsgatan 4;Björnsonsgatan 4;16843;Bromma;17.8780185;59.3462115;Blackeberg;Bromma;;
28259;förskola;Förskolan Bällstaågatan 62;Bällstaågatan 62;16870;Bromma;17.9545589;59.3638101;Mariehäll;Bromma;;
6534;förskola;Förskolan Bävervägen 43;Bävervägen 43;16830;Bromma;17.9536389;59.3340283;Abrahamsberg;Bromma;;
9524;förskola;Förskolan Dartanjangs gata 3;Dartanjangs gata 3;16872;Bromma;17.9449557;59.3620536;Mariehäll;Bromma;;
8284;förskola;Förskolan Djupdalsvägen 72–74;Djupdalsvägen 72–74;16772;Bromma;17.9370222;59.3303634;Olovslund;Bromma;;
8293;förskola;Förskolan Drottningholmsvägen 510A;Drottningholmsvägen 510A;16839;Bromma;17.9265852;59.3355424;Åkeshov;Bromma;;
8276;förskola;Förskolan Författarvägen 29–31;Författarvägen 29-31;16775;Bromma;17.9339353;59.3255683;Höglandet;Bromma;;
8328;förskola;Förskolan Gliavägen 128;Gliavägen 128;16858;Bromma;17.9290909;59.3523384;Bromma kyrka;Bromma;;
8323;förskola;Förskolan Gliavägen 130;Gliavägen 130 B;16858;Bromma;17.9290909;59.3523384;Bromma kyrka;Bromma;;
7756;förskola;Förskolan Grindslanten;Förskottsvägen 20;12932;Hägersten;17.9855229;59.2982032;Hägerstensåsen;Hägersten-Älvsjö;;
8280;förskola;Förskolan Gubbkärrsvägen 29;Gubbkärrsvägen 29;16840;Bromma;17.9142267;59.3315458;Nockebyhov;Bromma;;
28134;förskola;Förskolan Guldklimpar Lilla Äppelbo;Runda vägen 24A;16751;Bromma;17.9802691;59.3303711;Alvik;Bromma;;
9250;förskola;Förskolan Guldklimpar Äppelbo;Runda vägen 50;16751;Bromma;17.9784488;59.3319757;Alvik;Bromma;;
6558;förskola;Förskolan Gustav III:s väg 36;Gustav III:s väg 36;16830;Bromma;17.9462717;59.3338755;Abrahamsberg;Bromma;;
10543;förskola;Förskolan Hagelstavägen 24;Hagelstavägen 24;16866;Bromma;17.9479909;59.360717;Mariehäll;Bromma;;
28556;förskola;Förskolan Höjden;Kinnaredsgränd 69;12572;Älvsjö;18.030944;59.2897487;Östberga;Hägersten-Älvsjö;;
6379;förskola;Förskolan Johannesfredsvägen 27;Johannesfredsvägen 27;16868;Bromma;17.9731332;59.3469559;Ulvsunda industriområde;Bromma;;
6566;förskola;Förskolan Karen Blixens gata 15;Karen Blixens gata 15;16844;Bromma;17.8733615;59.3461936;Blackeberg;Bromma;;
10459;förskola;Förskolan Kattresan;Zornvägen 43–47;16850;Bromma;17.8929598;59.3421619;Södra Ängby;Bromma;;
8496;förskola;Förskolan Klintbacken 11;Klintbacken 11;16866;Bromma;17.9542252;59.3599018;Mariehäll;Bromma;;
6594;förskola;Förskolan Margretelundsvägen 73;Margretelundsvägen 73;16736;Bromma;17.9772262;59.3397511;Traneberg;Bromma;;
6600;förskola;Förskolan Marklandsbacken 2;Marklandsbacken 2;16836;Bromma;17.9368963;59.3368174;Åkeslund;Bromma;;
26051;förskola;Förskolan Masugnsvägen 72–74;Masugnsvägen  72–74;16877;Bromma;17.9622088;59.3571965;Ulvsunda industriområde;Bromma;;
10547;förskola;Förskolan Metapontum;Stora Mans Väg 11D;12559;Älvsjö;17.9731195;59.2824177;Älvsjö;Hägersten-Älvsjö;;
8297;förskola;Förskolan Nockeby kyrkväg 8, Svanhildsvägen 23;Nockeby kyrkväg 8, Svanhildsvägen 23;16774;Bromma;145792.0;6579397.0;;Bromma;;
8289;förskola;Förskolan Nockebyvägen 20;Nockebyvägen 20;16848;Bromma;17.9414025;59.3226627;Höglandet;Bromma;;
6606;förskola;Förskolan Nyängsvägen 21;Nyängsvägen 21;16754;Bromma;17.9687294;59.3247797;Äppelviken;Bromma;;
29659;förskola;Förskolan Nyängsvägen 66;Nyängsvägen 66;16764;Bromma;17.9599447;59.3251433;Ålsten;Bromma;;
6630;förskola;Förskolan Olovslundsvägen 19;Olovslundsvägen 19;16772;Bromma;17.9384342;59.3311661;Olovslund;Bromma;;
6412;förskola;Förskolan Osmundsvägen 6;Osmundsvägen 6;16868;Bromma;17.9741872;59.3473643;Ulvsunda industriområde;Bromma;;
6706;förskola;Förskolan Pippi Långstrumps gata 12;Pippi Långstrumps gata 12;16871;Bromma;17.9471455;59.3628488;Mariehäll;Bromma;;
6713;förskola;Förskolan Pippi Långstrumps gata 14;Pippi Långstrumps gata 14;16871;Bromma;17.9467454;59.3632791;Mariehäll;Bromma;;
10370;förskola;Förskolan Raketen;Björnsonsgatan 313;16847;Bromma;17.8819116;59.3495177;Blackeberg;Bromma;;
8314;förskola;Förskolan Ringarstigen 2;Ringarstigen 2;16858;Bromma;17.9241503;59.355328;Bromma kyrka;Bromma;;
9169;förskola;Förskolan Råbyvägen;Råbyvägen 34;12543;Älvsjö;18.0220258;59.2761013;Älvsjö;Hägersten-Älvsjö;;
6778;förskola;Förskolan Smedslättsvägen 71;Smedslättsvägen 71;16761;Bromma;17.961015;59.3230505;Smedslätten;Bromma;;
7663;förskola;Förskolan Stormfågeln AB;Ivar Vidfamnes Gata 20;12652;Hägersten;17.9863286;59.3079937;Aspudden;Hägersten-Älvsjö;;
8310;förskola;Förskolan Styresman Sanders väg 16;Styresman Sanders väg 16;16860;Bromma;17.9041467;59.3596442;Eneby;Bromma;;
9491;förskola;Förskolan Sunnanstigen 11;Sunnanstigen 11;16731;Bromma;17.955714;59.3372067;Ulvsunda;Bromma;;
6940;förskola;Förskolan Svartviksslingan 47;Svartviksslingan 47;16738;Bromma;17.9897242;59.3398854;Traneberg;Bromma;;
7949;förskola;Förskolan Svartviksslingan 53;Svartviksslingan 53;16738;Bromma;17.9910381;59.3390094;Traneberg;Bromma;;
9496;förskola;Förskolan Tunnlandsvägen 30;Tunnlandsvägen 30;16836;Bromma;17.9392984;59.3368431;Bromma;Bromma;;
6854;förskola;Förskolan Tyska Bottens väg 49;Tyska Bottens väg 49;16841;Bromma;17.9056986;59.3325127;Nockebyhov;Bromma;;
9503;förskola;Förskolan Ulvsunda Slottsväg 19, 22;Ulvsunda slottsväg 19 och 22;16733;Bromma;148224.0;6580131.0;;Bromma;;
7944;förskola;Förskolan Vadmalsvägen 5–7;Vadmalsvägen 5–7;16874;Bromma;17.9437146;59.3396561;Bromma;Bromma;;
9166;förskola;Förskolan Vingåkersvägen;Vingåkersvägen 22–26;12540;Älvsjö;18.0302443;59.2752339;Älvsjö;Hägersten-Älvsjö;;
8342;förskola;Förskolan Vinjegatan 31–33/Björnsonsgatan 132;Björnsonsgatan 132;16844;Bromma;17.8800464;59.3478194;Blackeberg;Bromma;;
9520;förskola;Förskolan Vultejusvägen 15 A;Vultejusvägen 15 A;16856;Bromma;17.9087707;59.3448874;Norra Ängby;Bromma;;
8304;förskola;Förskolan Vultejusvägen 15 D E;Vultejusvägen 15 D E;16856;Bromma;17.9092484;59.3489677;Norra Ängby;Bromma;;
6850;förskola;Förskolan Zornvägen 26;Zornvägen 26;16851;Bromma;17.8929598;59.3421619;Södra Ängby;Bromma;;
10401;förskola;Förskolan Änglan AB;Våxtorpsgränd 18;12573;Älvsjö;18.0328437;59.2881125;Östberga;Hägersten-Älvsjö;;
7346;förskola;Förskolan Äppelvikstorget;Nyängsvägen 1;16754;Bromma;17.9729254;59.3264122;Äppelviken;Bromma;;
10564;förskola;Förskolan Örnbacken;Örnbacken 34;12651;Hägersten;17.9880423;59.3092546;Aspudden;Hägersten-Älvsjö;;
9056;förskola;Föräldrakooperativet Minnemalen;Svartviksslingan 13;16738;Bromma;17.9895629;59.3400425;Traneberg;Bromma;;
9585;förskola;Föräldrakooperativet Storken;Sunnanstigen 5;16731;Bromma;17.9548919;59.3375712;Ulvsunda;Bromma;;
10284;förskola;Föräldrakooperativet Trumslagaren;Trumslagargatan 10;12534;Älvsjö;17.99807;59.2767902;Långsjö;Hägersten-Älvsjö;;
8423;förskola;Föräldrakooperativet Vildkatten;Tegelbruksvägen 31;12634;Hägersten;18.0100183;59.3019572;Midsommarkransen;Hägersten-Älvsjö;;
7197;förskola;Gläntan Lotterivägen 17;Lotterivägen 17;12932;Hägersten;17.9808163;59.2978629;Hägerstensåsen;Hägersten-Älvsjö;;
9477;förskola;Gläntan Östbergabackarna 50;Östbergabackarna 50;12572;Älvsjö;18.0310008;59.2875969;Östberga;Hägersten-Älvsjö;;
10050;förskola;Grodan;Störtloppsvägen 36;12945;Hägersten;17.9665397;59.2945031;Västertorp;Hägersten-Älvsjö;;
6773;förskola;Grågåsen;Erik Segersälls väg 24–30;12650;Hägersten;17.9993105;59.3075649;Aspudden;Hägersten-Älvsjö;;
9539;förskola;Gökboet – Ängbybarnens förskolor;Dybecksvägen 84;16855;Bromma;17.9008879;59.3464247;Norra Ängby;Bromma;;
10614;förskola;Hasselbacken;Personnevägen 78;12935;Hägersten;17.9751492;59.2983006;Hägersten;Hägersten-Älvsjö;;
8612;förskola;Hattis;Hattmakarbacken 11;12942;Hägersten;17.9523297;59.296746;Mälarhöjden;Hägersten-Älvsjö;;
7257;förskola;Hattstugans Waldorfförskola;Stora Mossens backe 4;16756;Bromma;17.9642261;59.3345153;Stora mossen;Bromma;;
9952;förskola;Hoppetossa Tolvan;Grönviksvägen 111;16776;Bromma;17.9372579;59.320387;Ålsten;Bromma;;
8521;förskola;I Ur och Skur Havskatten;Missionsvägen 14;16733;Bromma;17.9764308;59.3408876;Ulvsunda;Bromma;;
7610;förskola;I Ur och Skur Mullelyan;Beckombergavägen 13;16854;Bromma;17.921362;59.3431821;Åkeshov;Bromma;;
9652;förskola;I Ur och Skur Trollsländan;Tappvägen 32;16870;Bromma;17.9524702;59.3645169;Mariehäll;Bromma;;
7322;förskola;I Ur och Skur Täppan;Grundtvigsgatan 47–49;16848;Bromma;17.8853255;59.3469133;Blackeberg;Bromma;;
7713;förskola;I Ur och Skur Vindleken;Långsjövägen 12;12530;Älvsjö;17.9977428;59.2747059;Långsjö;Hägersten-Älvsjö;;
10728;förskola;I Ur och Skur Vinterelvan;Örnbacken 4;12651;Hägersten;17.9905404;59.3095658;Aspudden;Hägersten-Älvsjö;;
7668;förskola;I Ur och Skur Västanvind;Anundsvägen 12;16853;Bromma;17.8911026;59.3520842;Beckomberga;Bromma;;
8664;förskola;Instrumentet;Instrumentvägen 32;12653;Hägersten;17.9845951;59.3055671;Hägersten;Hägersten-Älvsjö;;
8631;förskola;Jungfru Lona;Kinmanssonsvägen 47;12938;Hägersten;17.9690178;59.3019509;Hägersten;Hägersten-Älvsjö;;
9738;förskola;Justineborgs förskola;Adolfsbergsvägen 26;16866;Bromma;17.9556266;59.358668;Mariehäll;Bromma;;
8703;förskola;Kastanjen Majstångsvägen 6;Majstångsvägen 6;12633;Hägersten;18.0090156;59.3033057;Midsommarkransen;Hägersten-Älvsjö;;
8725;förskola;Kata Dalström;Kata Dalströms gata 23;12954;Hägersten;17.9603854;59.2851332;Fruängen;Hägersten-Älvsjö;;
30310;förskola;Kobran;Mobilgatan 3B;12626;Hägersten;17.9890975;59.2978941;Midsommarkransen;Hägersten-Älvsjö;;
6748;förskola;Korpen;Schlytersvägen 55;12650;Hägersten;18.006897;59.3064018;Aspudden;Hägersten-Älvsjö;;
10462;förskola;Kristallen;Isgränd 6;12946;Hägersten;17.9681302;59.2908257;Västertorp;Hägersten-Älvsjö;;
8959;förskola;Kroppås;Sankt Mickelsgatan 122;12941;Hägersten;17.9593892;59.2983479;Hägersten;Hägersten-Älvsjö;;
8386;förskola;Lillgårdens waldorfförskola;Broderivägen 13;16838;Bromma;17.9294811;59.3390824;Åkeshov;Bromma;;
6695;förskola;Lillskogen;Karlslundsvägen 10;12552;Älvsjö;17.9816651;59.2687269;Långsjö;Hägersten-Älvsjö;;
7081;förskola;LM-gården;Trettondagsvägen 7–9;12636;Hägersten;17.9980105;59.2999201;Midsommarkransen;Hägersten-Älvsjö;;
